epoch,loss,val_loss,train_time,time
0,0.018080594810914057,0.009624823498311957,6.1984543800354,18/01/2020 19:01:39
1,0.01808059486393232,0.009624823498311957,4.395188331604004,18/01/2020 19:01:39
2,0.01808059483534033,0.009624823498311957,4.205997943878174,18/01/2020 19:01:39
3,0.018080594652237974,0.009624823498311957,4.172001361846924,18/01/2020 19:01:39
4,0.018080594894985872,0.009624823498311957,4.148001194000244,18/01/2020 19:01:39
5,0.01808059483420422,0.009624823498311957,4.159001588821411,18/01/2020 19:01:39
6,0.018080595047034673,0.009624823498311957,4.266962051391602,18/01/2020 19:01:39
7,0.01808059485266594,0.009624823498311957,4.3317248821258545,18/01/2020 19:01:39
8,0.018080594721351064,0.009624823498311957,4.199000835418701,18/01/2020 19:01:39
9,0.018080594732901474,0.009624823498311957,4.153473854064941,18/01/2020 19:01:39
10,0.018080594804476127,0.009624823498311957,4.067570209503174,18/01/2020 19:01:39
11,0.018080594801446512,0.009624823498311957,4.078000545501709,18/01/2020 19:01:39
12,0.018080594882488712,0.009624823498311957,4.043109178543091,18/01/2020 19:01:39
13,0.018080594752499294,0.009624823498311957,4.16240668296814,18/01/2020 19:01:39
14,0.018080594831174607,0.009624823498311957,4.0760016441345215,18/01/2020 19:01:39
15,0.018080594876334805,0.009624823498311957,4.13342547416687,18/01/2020 19:01:39
16,0.01808059493721113,0.009624823498311957,4.102432012557983,18/01/2020 19:01:39
17,0.01808059479605001,0.009624823498311957,3.948367118835449,18/01/2020 19:01:39
18,0.018080594759221254,0.009624823498311957,3.9980146884918213,18/01/2020 19:01:39
19,0.018080594810346004,0.009624823498311957,3.994715690612793,18/01/2020 19:01:39
20,0.01808059478326882,0.009624823498311957,3.935999631881714,18/01/2020 19:01:39
