epoch,loss,val_loss,train_time,time
0,0.0036327077516054357,0.000959572536395723,6.902194976806641,10/12/2019 10:44:06
1,0.0013820661992437347,0.0006878197646922333,4.738971710205078,10/12/2019 10:44:06
2,0.001105370750297428,0.0005304804535356065,4.711902618408203,10/12/2019 10:44:06
3,0.0009772926932953264,0.0004547887614844068,6.443467378616333,10/12/2019 10:44:06
4,0.0008476392843013165,0.00043106026089607475,5.30737566947937,10/12/2019 10:44:06
5,0.0007882630402984928,0.00038787254497982075,4.903641700744629,10/12/2019 10:44:06
6,0.0007586474390900392,0.0003752863961510321,4.585999250411987,10/12/2019 10:44:06
7,0.0007370801044647654,0.00036781259657125715,4.343987464904785,10/12/2019 10:44:06
8,0.0007214370371946871,0.00038879984828034403,3.994953155517578,10/12/2019 10:44:06
9,0.0007322680142264272,0.00040658570444647023,4.0089991092681885,10/12/2019 10:44:06
10,0.0007090071996371861,0.00035967931427992057,4.0000059604644775,10/12/2019 10:44:06
11,0.0006959711233614511,0.00042279675561744554,4.008996248245239,10/12/2019 10:44:06
12,0.0007025823010952168,0.000862305660308214,4.233000040054321,10/12/2019 10:44:06
13,0.0007234595158778256,0.00036111618182902745,5.018495798110962,10/12/2019 10:44:06
14,0.0006847606658692719,0.00040637849620207774,5.6492109298706055,10/12/2019 10:44:06
15,0.0006925744871028382,0.00038160682637649983,5.173748254776001,10/12/2019 10:44:06
16,0.0006832637479506974,0.00039782414285980647,5.183128595352173,10/12/2019 10:44:06
17,0.0006728387490424904,0.0003441685327453685,4.871532678604126,10/12/2019 10:44:06
18,0.0006605414740027311,0.0003803673369640654,4.959337472915649,10/12/2019 10:44:06
19,0.000661113955094868,0.0004477780792482962,4.494825839996338,10/12/2019 10:44:06
20,0.0006629874174176678,0.0003397275185309489,4.6320013999938965,10/12/2019 10:44:06
21,0.0006511791644079551,0.0003788797954419613,4.17899489402771,10/12/2019 10:44:06
22,0.0006529647513611895,0.0003719528917199651,5.592086315155029,10/12/2019 10:44:06
23,0.0006622302068615874,0.00039649324238307996,5.3909993171691895,10/12/2019 10:44:06
24,0.0006529616636060874,0.0003463660513285671,5.192002773284912,10/12/2019 10:44:06
25,0.0006475468598935785,0.0003274247249037358,4.880000829696655,10/12/2019 10:44:06
26,0.0006390795111701628,0.0003393510690207721,4.826990365982056,10/12/2019 10:44:06
27,0.0006321797838387684,0.0003498214079064645,4.755094051361084,10/12/2019 10:44:06
28,0.0006365526163027964,0.0004253119358570414,5.097783327102661,10/12/2019 10:44:06
29,0.0006543473306673257,0.0003688142749631055,5.065000295639038,10/12/2019 10:44:06
30,0.0006447792322495567,0.0003603917636852969,4.645991563796997,10/12/2019 10:44:06
31,0.000639087180040848,0.0003341568038514184,4.220036745071411,10/12/2019 10:44:06
32,0.0006324287771049576,0.00032689002012593107,4.397003650665283,10/12/2019 10:44:06
33,0.0006276535614198081,0.00040744843724723243,4.36699914932251,10/12/2019 10:44:06
34,0.0006389378928172254,0.0003871845144502573,4.183001518249512,10/12/2019 10:44:06
35,0.0006315786599880994,0.00032224023350105937,4.296998500823975,10/12/2019 10:44:06
36,0.0006295342088217508,0.00040117538723575126,4.366568565368652,10/12/2019 10:44:06
37,0.0006198746830720824,0.00035295443374813745,4.737971067428589,10/12/2019 10:44:06
38,0.0006212552665279499,0.00034090757047224306,4.434540033340454,10/12/2019 10:44:06
39,0.0006193290673146151,0.00032645860560447695,4.308000326156616,10/12/2019 10:44:06
40,0.0006149820434958307,0.0003681885879551189,4.246516466140747,10/12/2019 10:44:06
41,0.0006171122451567664,0.0003625320481773763,4.195997476577759,10/12/2019 10:44:06
42,0.0006184565847105973,0.00031745530986253127,4.334001541137695,10/12/2019 10:44:06
43,0.0006050023487338303,0.0003323256592360791,4.653995752334595,10/12/2019 10:44:06
44,0.0006206515151761969,0.00033619945760483155,6.387847900390625,10/12/2019 10:44:06
45,0.0006087768626520025,0.0003581346738167002,4.6159985065460205,10/12/2019 10:44:06
46,0.0006086598624363338,0.0003160430233024535,4.512521505355835,10/12/2019 10:44:06
47,0.0006125617217209632,0.00034412385316819906,4.882306814193726,10/12/2019 10:44:06
48,0.0006191339692986766,0.0003313416087920206,4.468090295791626,10/12/2019 10:44:06
49,0.0006043961112197361,0.0003184382532735989,5.662261724472046,10/12/2019 10:44:06
50,0.0006035533630291682,0.0003319593686837879,4.431001424789429,10/12/2019 10:44:06
51,0.000605762666720202,0.00031329384454987423,4.025001764297485,10/12/2019 10:44:06
52,0.0006083409454567019,0.00035460353932401236,4.6249988079071045,10/12/2019 10:44:06
53,0.0006100590492378424,0.0003805424209329853,4.164000988006592,10/12/2019 10:44:06
54,0.0006142719527455679,0.0003164998034176135,3.989516258239746,10/12/2019 10:44:06
55,0.0006052051531987019,0.0003523536984070042,4.060000419616699,10/12/2019 10:44:06
56,0.000598556957550959,0.0003441912116762059,4.303001165390015,10/12/2019 10:44:06
57,0.0005975767867301593,0.0003126691974451254,4.095003128051758,10/12/2019 10:44:06
58,0.0006046248000316179,0.0003256309317111439,4.30600380897522,10/12/2019 10:44:06
59,0.0006016830790218673,0.00043271065748670136,4.0940001010894775,10/12/2019 10:44:06
60,0.0006149686085678939,0.00033074764119174574,4.156998634338379,10/12/2019 10:44:06
61,0.0005953879377382657,0.00035131921820867525,5.323999881744385,10/12/2019 10:44:06
62,0.0005996089785724768,0.00030828798360494876,5.652785778045654,10/12/2019 10:44:06
63,0.0005973825443350288,0.00031716505804638373,4.991051197052002,10/12/2019 10:44:06
