time,wind_speed,wind_dir,temp,rh,barometer,radiation,inner_temp,pm_10,pm_2.5,pm_1
1.0,-0.11054557660350893,0.00038803390475212595,0.061302029891886566,-0.22089492578350234,0.021430953863225407,-0.08049738954597238,0.1915421713006781,-0.42599523775652215,-0.34994133349378065,-0.2911165029268665
-0.11054557660350893,1.0,0.10318557879013034,0.3359369714421726,0.11143660091714043,-0.32622202639361175,0.14720937103444512,0.2605140045501814,-0.1685946587532976,-0.26939568120604374,-0.32101695094152993
0.00038803390475212595,0.10318557879013034,1.0,0.14651639259399252,0.14305182004465963,-0.11081174491650966,0.04599927433930846,0.10185278063431451,0.010854070072721694,-0.01276351149797284,-0.019140954779809538
0.061302029891886566,0.3359369714421726,0.14651639259399252,1.0,0.14915685014842933,-0.8199292874357599,0.37013696266488066,0.6690164289300545,-0.18690379403897928,-0.3943321061940636,-0.47775661511021844
-0.22089492578350234,0.11143660091714043,0.14305182004465963,0.14915685014842933,1.0,-0.11793030305190381,0.41528479617989406,-0.08263169158526681,0.06639282289553158,0.042470298131427865,0.01422459112626959
0.021430953863225407,-0.32622202639361175,-0.11081174491650966,-0.8199292874357599,-0.11793030305190381,1.0,-0.15882984523292107,-0.5160506742662032,0.21484628954859047,0.36721709085361076,0.4519891972099467
-0.08049738954597238,0.14720937103444512,0.04599927433930846,0.37013696266488066,0.41528479617989406,-0.15882984523292107,1.0,0.3210952851589025,-0.06415683585436882,-0.19206533660132938,-0.21700614896129433
0.1915421713006781,0.2605140045501814,0.10185278063431451,0.6690164289300545,-0.08263169158526681,-0.5160506742662032,0.3210952851589025,1.0,-0.2643980312523894,-0.41107308686172206,-0.44540855889055225
-0.42599523775652215,-0.1685946587532976,0.010854070072721694,-0.18690379403897928,0.06639282289553158,0.21484628954859047,-0.06415683585436882,-0.2643980312523894,1.0,0.92451142004259,0.8574614436163309
-0.34994133349378065,-0.26939568120604374,-0.01276351149797284,-0.3943321061940636,0.042470298131427865,0.36721709085361076,-0.19206533660132938,-0.41107308686172206,0.92451142004259,1.0,0.9783392379844491
-0.2911165029268665,-0.32101695094152993,-0.019140954779809538,-0.47775661511021844,0.01422459112626959,0.4519891972099467,-0.21700614896129433,-0.44540855889055225,0.8574614436163309,0.9783392379844491,1.0
