1.248560000000000114e+00,2.679780000000000086e+02,2.851620000000000132e+01,3.650169999999999804e-01,2.029060008914396107e+01,1.380549971980601676e+01,9.034599710211159262e+00
1.844170000000000087e+00,2.961390000000000100e+02,2.876650000000000063e+01,3.648869999999999614e-01,2.290559953273460181e+01,1.543030007133633141e+01,9.627999898299576031e+00
1.400139999999999940e+00,3.119139999999999873e+02,2.774950000000000117e+01,3.651480000000000281e-01,2.122780002209544037e+01,1.581520023944229081e+01,1.187440038561821076e+01
1.665839999999999987e+00,3.102729999999999677e+02,2.619689999999999941e+01,3.665800000000000169e-01,1.590140039089322066e+01,1.230310036721825817e+01,9.881899905145170138e+00
1.138510000000000133e+00,3.147250000000000227e+02,2.599640000000000128e+01,3.648869999999999614e-01,1.710200041993707387e+01,1.445470043132454308e+01,1.231940015956759638e+01
1.348600000000000021e+00,3.132839999999999918e+02,2.580480000000000018e+01,3.669270000000000032e-01,1.228920045591518218e+01,1.049919985176064152e+01,8.921900138139726266e+00
1.539070000000000160e+00,3.108109999999999786e+02,2.591809999999999903e+01,3.666670000000000207e-01,1.370820016222447180e+01,1.090299974152818407e+01,8.872799754202366884e+00
1.490199999999999969e+00,3.109820000000000277e+02,2.650789999999999935e+01,3.658420000000000005e-01,1.780840013891458540e+01,1.339979970237985363e+01,1.093299993571639206e+01
1.465910000000000268e+00,3.079190000000000396e+02,2.721490000000000009e+01,3.638020000000000143e-01,2.809510062821209431e+01,2.014170056925714292e+01,1.544259960302710688e+01
1.556179999999999897e+00,3.112709999999999582e+02,2.768009999999999948e+01,3.647569999999999979e-01,3.129549904759973344e+01,2.197549955490231710e+01,1.689460047832131551e+01
1.174900000000000055e+00,3.163240000000000123e+02,2.768750000000000000e+01,3.657119999999999815e-01,4.270689977871626297e+01,2.920329941374809124e+01,2.160249926251173136e+01
6.718100000000000183e-01,3.225459999999999923e+02,2.754159999999999897e+01,3.628909999999999636e-01,5.942399810998141874e+01,4.015079982286692228e+01,2.880249877423048233e+01
