PM10,PM2.5
94.292,66.976
82.05799999999998,55.39999999999999
71.252,37.1958
54.968999999999994,25.2403
26.600799999999996,8.249
25.217,6.7485
18.031,5.4032
16.0849,4.78739
19.8725,5.4768
23.4339,6.2983
29.171000000000003,8.1903
26.0567,8.9733
30.3617,10.4442
23.9575,10.4542
24.2223,13.0478
22.7175,12.03
25.765,12.9375
19.5446,13.8125
19.9418,14.122200000000001
23.0082,16.4835
26.024100000000004,18.7648
24.6058,18.1308
31.5492,22.4937
40.6721,29.4146
32.1509,21.9441
33.4568,22.4835
40.3651,23.1477
55.86500000000001,25.580099999999998
46.5735,21.6
54.651999999999994,21.668000000000006
44.316,15.1601
25.1343,8.8931
29.656399999999998,9.8743
33.0409,8.0169
30.4915,9.4577
46.2767,15.0747
44.4208,18.4558
36.3068,19.1862
31.185100000000002,17.3213
23.3222,16.0844
20.4676,14.3852
18.0187,12.6426
19.5637,13.9416
18.5987,14.4263
16.8837,13.397200000000002
20.3375,15.1012
19.3042,14.5178
26.0113,18.427
23.2852,16.1977
24.5787,16.6112
24.5643,16.53
25.089299999999998,16.98
31.942499999999995,17.6116
36.0894,17.4567
35.9083,16.715
36.6608,15.9292
32.7475,14.81
31.3283,13.9333
30.828300000000002,13.577499999999999
39.9123,18.0823
39.2779,20.4882
40.8575,23.6358
38.2538,23.125
30.787100000000002,19.7581
27.753600000000002,17.9321
20.8975,15.609600000000002
21.9974,17.4889
23.1627,17.5274
24.2715,18.9708
26.1701,21.2278
29.4421,22.6035
29.0013,22.2671
26.5492,18.4811
32.8984,22.4247
36.8929,25.2
39.1212,26.725799999999996
34.155,23.205
38.0458,21.5453
37.2672,23.2108
33.125,21.285
34.095,21.88
37.6352,21.1455
33.5033,18.5233
39.4337,21.3005
29.3083,14.312500000000002
25.119200000000003,14.195000000000002
15.8794,11.5225
27.4261,18.4057
25.7285,18.7328
58.843,9.5042
4.56,3.36667
2.58818,2.03091
4.21438,3.3301399999999997
4.53902,3.4548799999999997
3.5219000000000005,2.97273
4.96875,4.2965300000000015
8.7136,7.6639
8.8419,7.336299999999999
15.295799999999998,13.067
30.573,21.323
21.99,17.83
20.0083,16.3333
19.4516,16.5836
21.205,16.95
42.3438,28.6594
43.8685,29.5327
37.5058,26.4342
32.7804,23.1667
33.7167,22.5484
30.711299999999998,20.6465
22.6542,15.974199999999998
16.214000000000002,11.793
10.9714,7.3286
9.6533,6.550800000000001
13.7733,9.296
15.9125,10.7979
9.8702,7.5656
10.2348,8.0966
9.9114,8.0281
3.84764,3.43482
2.59382,2.1741200000000003
7.8928,6.272499999999999
15.133900000000002,10.8271
12.1518,9.783
25.3131,17.4428
25.3058,17.009
22.9333,15.5883
24.745,13.5583
31.4164,14.4295
21.1533,14.346700000000002
19.61,13.31
16.1858,10.85
15.8093,11.1067
16.1515,12.053
12.2258,9.9817
7.1000000000000005,5.9921
9.3183,7.7308
4.48197,3.76475
8.295,7.654300000000001
11.0262,10.0567
13.516300000000001,12.647999999999998
10.4577,9.0423
5.4481,5.0667
44.504030777639294,32.27965790303225
6.5375,6.121899999999999
9.378,8.0275
7.0134,5.6463
9.6558,8.3442
15.0034,13.2564
19.8093,17.9099
16.9845,15.822499999999998
13.2185,11.6741
15.0719,13.1859
26.44,18.1329
22.3855,15.9677
21.8831,15.1977
20.6496,14.079900000000002
24.05,16.45
21.3733,15.0117
27.595,18.9717
28.443299999999997,19.67
23.7208,17.9883
27.7775,21.6425
29.473900000000004,24.3644
36.0842,32.73
39.1725,35.6608
47.0577,43.5642
40.1208,35.4742
45.7311,40.7044
33.3586,28.9143
26.1313,19.0453
25.7283,20.2087
35.1774,26.733899999999995
19.7561,16.0238
11.5804,10.1891
15.2629,11.5741
25.9983,19.6597
25.218200000000003,19.2446
34.9575,23.8712
25.007,17.712
26.98,19.1962
35.5735,25.263899999999996
36.223,25.7328
26.622200000000003,19.5556
31.990000000000002,25.5433
30.3449,22.1573
32.7283,23.8367
31.88,24.2643
37.9,32.8917
60.165,55.35000000000001
51.63199999999999,47.5172
47.1983,44.6233
48.7017,42.5408
44.5458,38.4258
35.7724,31.2191
26.6225,21.68
21.4592,17.835
19.5645,14.770900000000001
18.7466,14.5578
20.0816,14.0632
20.6444,13.3833
30.033299999999997,16.2638
28.3653,20.1986
25.529,18.3661
27.046600000000005,18.2663
29.0321,20.5186
29.8863,21.2464
34.3379,25.103900000000003
29.927299999999995,21.5
33.8279,23.3932
42.789,29.2488
41.2727,29.5991
45.2954,30.9965
54.167,38.1517
62.527,46.4635
58.596999999999994,44.3164
53.479000000000006,43.6443
59.655,47.4383
58.74700000000001,40.9433
55.942,28.2117
47.8633,20.0483
37.8317,16.2638
28.3167,12.2375
20.4836,8.2647
28.2508,8.3925
21.082,7.45
19.15,6.612700000000001
38.2471,10.2581
34.5469,9.7859
35.2904,16.0603
25.0765,9.9824
25.7695,11.719
20.9965,11.6482
16.744,11.226
14.9257,10.3107
16.3347,11.1366
15.7869,11.38
17.8009,12.414
21.7058,14.9428
31.3418,20.9052
28.721899999999998,19.2521
25.0577,16.9188
25.67,17.2867
42.5797,16.9906
42.3483,17.1433
30.9735,14.1518
31.753299999999996,10.1
28.46,8.8267
26.013199999999998,8.4845
20.3308,5.965800000000001
23.2358,8.4825
33.3233,9.875
33.7727,9.8664
32.2469,15.828099999999997
26.356600000000004,16.1697
17.6452,11.95
19.2986,13.1188
20.3746,13.7284
19.6418,13.4006
19.7692,13.511199999999999
21.4443,15.0705
34.1913,24.4121
37.983,27.4556
40.8097,27.282500000000002
31.6147,22.2177
25.8671,20.1729
26.215099999999996,20.3488
26.8,20.3825
25.883599999999998,17.6373
25.678999999999995,16.2194
20.9817,13.75
25.1517,15.7842
23.5483,13.8683
18.6759,12.255999999999998
27.079499999999996,12.738500000000002
33.2034,16.1977
31.5382,16.7632
44.6378,26.1183
45.8042,27.409999999999997
46.5518,31.235700000000005
33.275,23.966699999999996
32.1,22.6032
48.6595,35.7447
42.4382,33.5921
34.0238,30.569000000000006
44.0386,32.8605
43.004,35.223
43.86,37.6052
41.5375,34.5012
45.8713,37.666
42.5203,34.3635
33.806,27.7714
35.9333,28.358
49.767199999999995,33.1738
49.4771,39.95
49.3802,36.5606
49.7733,36.7083
52.093,37.7333
61.258,44.7483
47.59,31.729199999999995
70.42399999999998,35.0561
26.82,6.9417
11.6461,6.5667
9.4783,7.1925
8.2031,6.722900000000001
6.9629,6.1079
7.1284,6.0233
5.8292,4.8875
9.8361,8.8111
8.1162,7.151399999999999
7.1435,6.751100000000001
6.6512,6.406999999999999
6.2768,6.0042
7.7632,7.233299999999999
9.0383,7.8812
7.514399999999999,6.6232999999999995
6.327600000000001,5.8231
8.9047,6.8882
13.0421,9.7855
17.7154,10.0571
15.2208,8.8338
13.7586,9.6757
16.058,11.0848
17.5687,11.877599999999997
14.484399999999999,9.9047
14.0433,9.9017
21.0433,15.0658
14.1,9.5667
20.2925,13.896699999999997
11.6758,8.3575
11.5391,8.3556
14.3475,10.4825
14.7808,11.7103
14.9341,11.1329
16.3806,11.6663
18.8776,12.9961
22.3861,14.9264
20.0163,13.4587
16.8136,11.5197
16.1332,10.9092
19.2934,12.973000000000003
15.501300000000002,10.7671
12.337300000000003,8.7888
5.3098,4.33913
4.734380000000002,4.030469999999998
8.7407,6.9284
10.9559,8.7882
12.9923,10.7038
15.1178,12.9014
18.9469,14.5391
16.8733,14.3433
19.41,17.865
16.6267,14.494200000000001
24.5717,21.2633
24.513300000000005,20.7567
19.2958,16.4525
19.4617,16.5275
19.3458,17.2242
25.8683,23.1425
32.0233,29.022499999999997
24.364399999999996,21.8394
22.8427,19.349
24.643700000000003,19.2196
16.3614,13.0977
15.655600000000002,10.9333
13.610500000000002,9.5242
17.3676,9.9176
11.818,9.0468
12.2128,8.5344
21.1274,11.2575
18.8532,13.9014
21.8303,15.888999999999998
21.8769,16.465999999999998
14.3295,11.0211
18.0835,12.875
27.8386,20.2535
24.2589,18.1507
27.3283,21.205
20.4767,15.8717
17.565,14.2567
24.381699999999995,20.775
25.6267,22.74
25.4217,22.8717
20.8725,17.8242
20.3039,16.8828
23.8722,19.2183
20.1458,16.0467
16.1808,12.6417
18.9575,12.862499999999999
18.4365,11.2808
14.709299999999999,10.4714
16.2182,9.4273
8.38,6.639999999999999
11.3603,7.9667
12.9906,9.1563
17.3366,9.8335
33.3845,16.9247
21.358,15.3074
31.8841,20.6103
41.6693,28.4784
50.987,35.2137
39.5433,28.334499999999995
41.2586,29.1453
24.9633,20.0983
20.4134,16.4597
31.377399999999998,28.3323
19.66,16.3633
14.605,11.73
11.87,8.9117
11.83,8.65
14.4242,11.2592
17.7792,10.395
26.33,14.0333
26.1833,13.7383
30.3469,15.8747
26.6185,12.7055
26.778599999999997,11.6686
29.261,13.0768
39.5968,20.4436
25.484800000000003,11.5606
26.1973,10.5219
16.8747,11.8325
14.6899,10.2101
11.7398,8.3023
9.2395,6.7581
10.4467,7.2305
12.746300000000002,8.709
18.159,12.418800000000001
15.6759,11.6069
12.2577,9.838
10.0813,7.498700000000001
6.4417,4.79
5.9524,4.70638
9.8767,8.0583
12.9817,9.45
19.74,13.1883
16.3483,10.92
16.6952,9.1857
17.7859,7.9442
14.153300000000002,7.514999999999999
12.9408,9.3683
19.3608,13.2183
17.0427,11.7255
14.789800000000001,10.1566
12.4629,8.6
9.012,6.2228
