epoch,loss,val_loss,train_time,time
0,0.004639880651215869,0.0007265457236741243,11.078706741333008,12/12/2019 14:34:43
1,0.0009704676340807495,0.0004969621200696547,7.91300368309021,12/12/2019 14:34:43
2,0.0007262177801417099,0.00042767932528108493,8.424580335617065,12/12/2019 14:34:43
3,0.000591201188976118,0.00037866922163378824,7.780478477478027,12/12/2019 14:34:43
4,0.0005382588551622299,0.00033122347138774097,7.852178573608398,12/12/2019 14:34:43
5,0.00046324104729983406,0.00032128662510760153,7.818817615509033,12/12/2019 14:34:43
6,0.00043251381122761924,0.00040132479374360323,7.548001527786255,12/12/2019 14:34:43
7,0.0004171145812303589,0.0003214245424959904,8.570764780044556,12/12/2019 14:34:43
8,0.0004081653331565848,0.000309305675560128,9.43900179862976,12/12/2019 14:34:43
9,0.0003904099433984495,0.0002678447894846639,9.344000101089478,12/12/2019 14:34:43
10,0.0003873860674496137,0.0003133972564305416,8.627002477645874,12/12/2019 14:34:43
11,0.00037821459122182197,0.0002784219108356205,9.68199896812439,12/12/2019 14:34:43
12,0.00037318325550783935,0.00029079995167096675,9.145000219345093,12/12/2019 14:34:43
13,0.00036949473776158424,0.00031362747662167347,7.1660003662109375,12/12/2019 14:34:43
14,0.0003657312468128488,0.0002565413006553815,7.366010904312134,12/12/2019 14:34:43
15,0.0003595307954999875,0.00026294768665711976,7.0835185050964355,12/12/2019 14:34:43
16,0.0003540474849026353,0.0002549134094008663,7.307001352310181,12/12/2019 14:34:43
17,0.0003515778766517474,0.0002566658386756414,7.105000257492065,12/12/2019 14:34:43
18,0.00034942499983145356,0.00030244864403667287,7.158000469207764,12/12/2019 14:34:43
19,0.0003458061506123543,0.0002653134184349475,7.824382543563843,12/12/2019 14:34:43
