PM10,PM2.5
117.00000000000001,68.0
119.0,68.0
123.0,71.0
116.0,68.0
95.0,54.0
79.0,44.0
68.0,33.0
55.99999999999999,23.0
46.0,18.0
43.0,14.0
43.0,16.0
36.0,17.0
34.0,15.0
38.0,15.0
45.0,18.0
50.0,23.0
52.00000000000001,26.0
53.0,24.0
50.0,25.0
51.0,26.0
48.99999999999999,22.0
43.0,19.0
42.0,19.0
45.0,21.0
41.0,19.0
36.0,16.0
42.0,13.0
46.0,12.0
41.0,15.0
35.0,15.0
32.0,11.0
31.000000000000004,7.0
31.000000000000004,8.0
33.0,12.0
33.0,14.0
34.0,14.0
37.0,15.0
35.0,15.0
36.0,13.0
41.0,13.0
40.0,17.0
43.0,19.0
47.0,19.0
45.0,19.0
42.0,17.0
31.69917313367584,31.69917313367584
48.99999999999999,17.0
44.0,15.0
37.0,17.0
34.0,20.0
32.216290526982746,19.0
38.0,14.0
39.0,14.0
38.0,14.0
43.0,17.0
50.0,24.0
50.0,29.0
44.0,26.0
41.0,26.0
39.0,22.0
43.0,21.0
46.0,19.0
39.0,16.0
34.0,16.0
29.0,14.0
33.0,12.0
38.0,13.0
38.0,13.0
39.0,11.0
29.0,14.0
27.999999999999996,15.0
27.999999999999996,11.0
27.999999999999996,12.0
34.0,19.0
39.0,20.0
44.0,19.0
37.0,18.0
31.000000000000004,15.0
30.0,17.0
27.999999999999996,19.0
26.000000000000004,16.0
23.0,11.0
19.0,10.0
16.0,11.0
15.0,11.0
13.999999999999998,7.0
13.000000000000002,8.0
15.0,7.0
17.0,7.0
15.0,11.0
16.0,8.0
19.0,7.0
19.0,8.0
21.0,8.0
21.0,7.0
16.0,9.0
13.999999999999998,8.0
12.0,10.0
15.0,11.0
13.999999999999998,11.0
15.0,6.0
17.0,5.0
20.0,8.0
19.0,10.0
13.999999999999998,10.0
16.0,7.0
18.0,8.0
13.000000000000002,8.0
11.0,9.0
13.000000000000002,9.0
15.0,6.0
12.0,5.0
6.999999999999999,4.0
11.0,4.0
9.0,7.0
6.0,6.0
12.0,8.0
17.0,7.0
19.0,4.0
16.0,6.0
15.0,6.0
20.0,10.0
19.0,11.0
20.0,11.0
21.0,15.0
23.0,17.0
25.0,12.0
19.0,10.0
13.000000000000002,9.0
13.999999999999998,10.0
18.0,11.0
22.0,11.0
25.0,12.0
22.0,11.0
18.0,11.0
23.0,11.0
27.0,14.0
32.0,19.0
34.0,19.0
33.0,17.0
38.0,19.0
44.0,27.0
52.00000000000001,35.0
67.0,40.0
74.0,44.0
73.0,39.0
72.0,39.0
75.0,43.0
77.0,43.0
75.0,38.0
78.0,42.0
80.0,39.0
75.0,27.0
71.0,26.0
75.0,25.0
73.0,24.0
68.0,25.0
66.0,23.0
63.0,19.0
60.0,18.0
55.0,18.0
52.00000000000001,17.0
53.0,21.0
58.99999999999999,26.0
63.0,25.0
65.0,25.0
64.0,26.0
67.0,28.0
65.0,27.0
57.0,24.0
55.99999999999999,22.0
58.99999999999999,25.0
53.0,24.0
42.0,16.0
35.0,12.0
34.0,14.0
31.000000000000004,13.0
29.0,15.0
33.0,15.0
35.0,18.0
42.0,19.0
51.0,23.0
55.99999999999999,29.0
58.99999999999999,29.0
57.0,26.0
55.0,30.0
58.0,33.0
58.99999999999999,29.0
62.00000000000001,30.999999999999996
66.0,35.0
68.0,32.0
66.0,30.999999999999996
65.0,30.999999999999996
68.0,33.0
74.0,33.0
80.0,33.0
85.0,35.0
87.0,35.0
88.0,40.0
88.0,44.0
87.0,39.0
86.0,36.0
88.0,38.0
90.99999999999999,42.0
88.0,40.0
87.0,38.0
89.0,39.0
90.99999999999999,42.0
90.99999999999999,44.0
94.0,41.0
104.00000000000001,42.0
104.99999999999999,45.0
96.0,47.0
97.99999999999999,46.0
89.0,41.0
82.0,37.0
90.0,40.0
90.0,41.0
85.0,39.0
82.0,35.0
75.0,35.0
73.0,37.0
58.99999999999999,27.0
44.0,15.0
40.0,11.0
35.0,12.0
41.0,12.0
42.0,15.0
39.0,17.0
41.0,19.0
39.0,19.0
41.0,20.0
43.0,20.0
43.0,18.0
38.0,14.0
34.0,11.0
30.995440189074614,30.995440189074607
30.0,14.0
32.0,16.0
37.0,16.0
36.0,13.0
32.0,12.0
29.0,12.0
30.0,14.0
30.0,13.0
26.000000000000004,16.0
26.000000000000004,16.0
25.0,13.0
24.0,13.0
26.000000000000004,17.0
27.999999999999996,18.0
32.0,16.0
35.0,16.0
36.0,18.0
36.0,22.0
41.0,20.0
42.0,17.0
39.0,17.0
38.0,19.0
38.0,20.0
37.0,20.0
36.0,19.0
38.0,18.0
39.0,19.0
42.0,23.0
40.0,22.0
38.0,22.0
45.0,23.0
48.0,23.0
46.0,24.0
47.0,26.0
46.0,24.0
43.0,22.0
41.0,25.0
45.0,27.0
48.0,27.0
46.0,27.0
44.0,24.0
42.0,23.0
45.0,23.0
45.0,24.0
48.0,22.0
53.0,24.0
48.99999999999999,26.0
46.0,26.0
45.0,31.69917313367584
47.0,24.0
47.0,25.0
46.0,24.0
41.0,20.0
39.0,17.0
41.0,18.0
40.0,15.0
38.0,13.0
36.0,16.0
34.0,19.0
34.0,32.22266448583344
35.0,32.669775559780426
39.0,13.0
39.0,16.0
37.0,18.0
37.0,15.0
34.0,16.0
35.0,18.0
36.0,17.0
36.0,16.0
37.0,21.0
35.0,24.0
30.0,21.0
29.0,23.0
32.0,22.0
29.0,20.0
26.000000000000004,21.0
27.999999999999996,18.0
30.0,14.0
30.0,14.0
34.0,15.0
37.0,13.0
32.0,15.0
34.0,18.0
43.0,20.0
46.0,27.0
51.0,30.0
51.0,28.0
43.0,29.0
44.0,33.0
51.0,33.0
55.0,33.0
57.0,32.0
55.0,30.0
55.0,33.0
58.99999999999999,30.999999999999996
95.0,64.0
121.0,91.0
93.0,67.0
62.00000000000001,39.0
48.99999999999999,39.0
46.0,29.0
44.0,24.0
47.0,23.0
50.0,26.0
53.0,26.0
53.0,24.0
48.0,22.0
47.0,24.0
42.0,21.0
36.0,20.0
34.0,19.0
31.000000000000004,18.0
27.999999999999996,17.0
30.0,15.0
36.0,17.0
41.0,23.0
42.0,26.0
40.0,24.0
43.0,21.0
43.0,21.0
40.0,19.0
43.0,18.0
47.0,25.0
46.0,25.0
41.0,22.0
36.0,23.0
35.0,20.0
32.0,20.0
32.0,22.0
31.000000000000004,18.0
22.0,8.0
13.999999999999998,4.0
16.0,3.0
17.0,3.0
19.0,6.0
22.0,5.0
24.0,19.0
33.0,26.0
90.99999999999999,48.0
145.0,81.0
140.0,76.0
111.00000000000001,59.0
74.0,33.0
53.0,21.0
44.0,19.0
44.0,15.0
35.0,15.0
35.0,16.0
39.0,17.0
46.0,20.0
53.0,23.0
63.0,30.999999999999996
71.0,30.999999999999996
76.0,42.0
84.0,43.0
88.0,42.0
90.0,44.0
90.99999999999999,44.0
85.0,44.0
83.0,32.855227936103724
73.0,32.0
68.0,29.0
64.0,28.0
62.00000000000001,29.0
