PM2.5
76.65300000000002
65.277
35.4511
23.5986
20.2703
21.7823
17.1591
18.0
20.4365
18.1908
17.0035
17.4831
17.6061
18.0417
18.4598
18.6128
20.0574
20.6056
24.9574
28.7252
35.8975
36.0763
41.6979
50.676
48.1311
49.0398
63.974
42.9641
28.3263
35.9547
29.5295
33.0572
26.4364
27.4192
25.4128
28.2133
25.3247
21.6107
23.5704
24.4335
28.9175
34.9563
49.1776
49.7014
58.345
62.039
63.867
65.194
64.37
84.11700000000002
77.048
77.632
86.25700000000002
80.032
69.721
53.577
59.393
50.06100000000001
32.4293
31.6197
27.2403
28.0558
30.1168
29.3757
27.3834
32.6499
46.2249
51.458
59.036
54.719
43.0076
35.503
35.5101
68.891
69.39399999999999
90.94700000000002
68.843
46.4237
58.72
58.056
47.2688
33.1049
25.1597
21.7401
20.8244
17.7939
15.991500000000002
15.558899999999998
16.5806
18.3618
25.653
28.792
20.6666
20.6051
15.930299999999999
15.793899999999999
18.1642
21.6496
37.563
29.5268
30.710699999999996
36.532
28.3392
31.7722
27.625
26.9021
32.0519
21.6042
17.2332
15.317400000000001
13.5872
14.1883
14.201
17.6138
27.3295
35.0005
31.879
28.0013
25.5268
28.6616
29.7934
26.852
26.6508
63.541999999999994
61.197
71.11900000000001
68.377
70.01800000000001
62.19200000000001
43.7169
41.865
29.3908
26.6258
25.26
24.3979
28.3762
27.8777
29.487
35.6035
30.8514
33.8639
34.5049
36.8002
44.3801
48.1265
48.2328
43.88399999999999
44.01
43.0176
41.5697
45.8802
52.553
60.74800000000001
62.187
67.247
67.578
57.32
56.293
49.8159
49.7013
52.897
52.217
55.849
64.363
65.217
64.11
64.627
61.933
68.035
61.781000000000006
41.6602
45.2328
48.736
54.268
45.1074
50.912
55.045
49.2109
40.5163
42.1201
32.6398
27.8925
23.6979
14.5843
14.7558
15.344999999999999
19.1817
19.2675
19.5693
20.8084
25.8054
25.2358
24.7335
25.0649
40.4549
38.6167
29.0216
31.567399999999996
21.7415
24.7987
27.3566
28.5734
24.4566
25.352
22.5523
20.3861
19.6245
21.3996
25.928
28.8659
36.1028
41.0576
42.9473
45.8561
