TIME,MONTH,DAY,YEAR,HOUR,WIND_SPEED,WIND_DIR,TEMP,RH,BAROMETER,RADIATION,INNER_TEMP,PM10,PM1,PM2.5
42453.33,3,24,2016,8,1.42942,62.402,18.8809,1.67834,1016.96,27.3036,25.8871,53.572,23.7763,36.578
42453.38,3,24,2016,9,0.65593,37.0056,18.4693,1.05543,1018.82,12.5763,25.8933,31.7433,19.0556,24.5501
42453.42,3,24,2016,10,0.77704,13.8587,17.076,7.151,1019.42,9.1128,25.2418,26.6889,21.4113,23.5667
42453.46,3,24,2016,11,0.52012,2.1398,16.8942,9.2326,1020.29,29.1144,24.8034,23.0411,19.6006,21.1197
42453.50,3,24,2016,12,0.86366,353.164,16.7281,9.9402,1020.34,41.1894,24.7984,20.4642,17.5097,18.8975
42453.54,3,24,2016,13,0.83966,5.4975,16.3293,10.2269,1019.59,25.2109,25.091,21.158,18.4989,19.7449
42453.58,3,24,2016,14,0.53371,333.391,15.9044,10.3138,1019.45,32.44,24.983,14.8073,13.0533,13.8298
42453.63,3,24,2016,15,0.77785,2.86193,16.0347,8.9699,1019.05,58.298,24.7766,16.2088,14.2113,15.0776
42453.67,3,24,2016,16,1.04353,7.7276,16.8808,1.5763,1019.05,38.3378,24.3792,23.1265,13.179,17.3954
42453.71,3,24,2016,17,0.74635,11.9259,17.0556,0.360807,1018.99,29.0992,24.4775,43.822,19.9763,29.9277
42453.75,3,24,2016,18,0.63506,16.5199,17.1868,0.358854,1019.18,9.56,24.5684,43.1155,22.0816,29.8981
42453.79,3,24,2016,19,0.88883,0.072098,17.1265,0.358854,1020.07,1.0816,24.2628,39.7179,22.2643,28.6473
42453.83,3,24,2016,20,0.75529,1.43409,16.9928,0.360373,1021.28,1.14236,24.2073,35.7149,22.8514,27.0329
42453.88,3,24,2016,21,0.61957,13.9477,16.985,0.359332,1022.54,1.12292,24.2095,43.1488,28.4805,33.2169
42453.92,3,24,2016,22,0.80833,16.258,17.1764,0.35829,1023.59,1.1053,24.1435,39.2703,26.786,30.7517
42453.96,3,24,2016,23,0.77706,38.1519,17.1395,0.35803,1023.71,1.1138,24.1058,54.6,40.5607,44.7942
42454.00,3,25,2016,0,0.5882,4.58214,17.0132,0.359592,1023.43,1.12778,24.301,47.8797,39.1687,42.0596
42454.04,3,25,2016,1,0.65489,0.299466,16.9741,0.359071,1023.32,1.10833,24.667,29.1863,24.3493,26.1408
42454.08,3,25,2016,2,0.86331,0.67164,16.8322,0.359201,1023.09,1.13385,24.5672,28.3047,23.8931,25.7228
42454.13,3,25,2016,3,0.79021,355.067,16.8934,0.360851,1022.53,1.14601,24.5654,41.4739,35.554,37.9169
42454.17,3,25,2016,4,0.83136,327.213,16.4582,0.361806,1022.81,1.13446,24.47,44.6708,39.5511,41.5015
42454.21,3,25,2016,5,0.81564,348.961,16.2621,0.361892,1023.29,1.10894,24.1506,33.8594,30.4307,31.8848
42454.25,3,25,2016,6,0.78486,7.3292,16.5109,0.36059,1023.95,1.13872,23.87,30.593,26.4957,27.8354
42454.29,3,25,2016,7,0.57361,30.4934,16.1149,0.360503,1024.37,4.7013,23.3119,38.227,32.9687,34.5485
42454.33,3,25,2016,8,0.70357,12.1813,16.128,0.360503,1025.03,15.5215,23.0914,52.343,45.6203,47.6483
42454.38,3,25,2016,9,0.69035,24.7559,16.668,0.357856,1025.56,48.3061,23.2528,90.138,47.6219,64.316
42454.42,3,25,2016,10,1.13607,68.647,17.3866,0.361589,1025.85,187.214,23.5304,97.261,37.6232,52.841
42454.46,3,25,2016,11,1.30563,84.339,18.9328,0.364887,1025.84,538.16,24.3154,85.62,30.6241,41.9199
42454.50,3,25,2016,12,1.19523,72.907,20.3381,0.365104,1025.03,779.4,25.8087,57.291,26.8885,32.5841
42454.54,3,25,2016,13,1.00901,56.931,21.6286,0.365495,1023.65,799.23,27.7388,46.3886,24.0908,27.9949
42454.58,3,25,2016,14,0.39587,25.7787,23.3574,0.365972,1022.53,748.61,29.1078,37.5996,19.9281,23.8006
