TIME,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
1.3886964e+18,18.0,0.49,1.1,11.0,12.0,31.0,81.0,2.9,23.0,48.807966573816,0.7,1.1,61.0,33.0
1.3887e+18,18.0,0.46,0.6,11.0,11.0,30.0,81.0,2.7,36.0,48.6539784494087,0.9,1.0,45.0,24.0
1.3887036e+18,18.0,0.53,0.8,12.0,13.0,26.0,83.0,5.7,28.0,48.317309148265,0.7,0.7,44.0,21.0
1.3887072e+18,18.0,0.36,0.8,7.6,8.3,31.0,80.0,2.3,45.0,48.013568648079946,1.1,0.9,43.0,22.0
1.3887108e+18,18.0,0.29,0.6,5.9,6.5,32.0,79.0,2.7,38.0,47.81208868759208,0.9,1.0,37.0,18.0
1.3887144e+18,17.0,0.24,0.8,5.0,5.8,30.0,79.0,2.5,40.0,47.883640909569415,0.7,0.7,31.0,15.0
1.388718e+18,17.0,0.27,0.6,6.0,6.6,26.0,81.0,2.1,57.0,47.30518218197131,0.9,1.1,26.0,16.0
1.3887216e+18,16.0,0.3,0.5,6.6,7.1,25.0,85.0,4.9,51.0,47.18568405537727,0.9,0.9,28.0,18.0
1.3887252e+18,16.0,0.28,0.8,4.6,5.4,26.0,84.0,1.9,47.0,46.82164972881884,0.7,0.6,32.0,16.0
1.3887288e+18,16.0,0.42,0.7,9.2,9.9,20.0,84.0,2.0,44.0,45.36485757910824,0.7,0.6,29.0,17.0
1.3887324e+18,17.0,1.65,24.0,27.0,51.0,8.4,84.0,3.3,32.0,44.24861934600599,0.6,0.6,45.0,23.0
1.388736e+18,19.0,1.65,15.0,35.0,50.0,18.0,76.0,4.0,35.0,41.01268371624133,0.6,0.8,68.0,28.0
1.3887396e+18,22.0,0.52,4.4,13.0,18.0,33.0,65.0,3.8,48.0,37.679122901420705,1.3,1.0,64.0,21.0
1.3887432e+18,24.0,0.56,3.8,16.0,20.0,44.0,61.0,3.8,39.0,35.78526745675841,1.9,1.3,50.0,19.0
1.3887468e+18,24.0,0.35,2.9,9.5,12.0,46.0,60.0,2.8,28.0,35.01416118243613,2.5,1.8,46.0,22.0
1.3887504e+18,25.0,0.35,1.9,7.1,9.0,53.0,64.0,3.1,33.0,34.087792843691055,2.2,2.0,42.0,22.0
1.388754e+18,25.0,0.37,1.4,7.0,8.4,62.0,64.0,3.1,31.0,33.61436180473702,3.0,2.6,43.0,22.0
1.3887576e+18,24.0,0.36,0.9,6.8,7.7,70.0,67.0,3.2,30.0,33.7289292011756,3.9,3.2,50.0,24.0
1.3887612e+18,24.0,0.44,0.5,9.3,9.8,75.0,74.0,3.5,30.0,34.167129027138515,1.8,2.5,60.0,31.0
1.3887648e+18,23.0,0.54,0.6,13.0,13.0,68.0,75.0,3.2,29.0,35.651572264081466,1.1,1.6,67.0,36.0
1.3887684e+18,23.0,0.63,0.8,17.0,18.0,58.0,74.0,3.3,34.0,38.07681703337188,1.6,1.2,62.0,36.0
1.388772e+18,22.0,0.57,0.9,21.0,22.0,35.0,67.0,3.4,57.0,41.45730147871389,1.4,1.6,60.0,34.0
1.3887756e+18,22.0,0.55,0.7,20.0,21.0,36.0,62.0,3.7,31.0,45.27073308072833,1.2,1.2,61.0,32.0
1.3887792e+18,22.0,0.78,1.4,28.0,30.0,28.0,62.0,4.3,33.0,47.68148342977385,1.0,0.9,62.0,33.0
1.3887828e+18,21.0,0.64,0.9,21.0,22.0,38.0,57.0,3.6,21.0,48.807966573816,2.3,1.7,62.0,35.0
1.3887864e+18,20.0,0.41,0.7,8.1,8.8,56.0,59.0,3.0,26.0,48.6539784494087,1.0,1.5,56.0,32.0
1.38879e+18,20.0,0.37,0.6,6.5,7.0,57.0,65.0,3.0,44.0,48.317309148265,1.4,1.2,54.0,30.0
1.3887936e+18,20.0,0.41,0.6,7.7,8.3,49.0,66.0,2.7,56.0,48.013568648079946,0.6,0.8,55.0,33.0
1.3887972e+18,19.0,0.43,0.8,8.1,8.9,43.0,69.0,2.8,50.0,47.81208868759208,1.3,0.9,57.0,39.0
1.3888008e+18,19.0,0.38,0.6,6.7,7.3,45.0,73.0,5.1,46.0,47.883640909569415,1.1,1.0,54.0,40.0
1.3888044e+18,19.0,0.42,0.5,7.2,7.7,57.0,66.0,5.0,23.0,47.30518218197131,1.8,1.5,70.0,46.0
1.388808e+18,19.0,0.48,0.6,7.9,8.5,54.0,66.0,5.5,39.0,47.18568405537727,1.2,1.2,92.0,53.0
1.3888116e+18,19.0,0.51,0.7,8.4,9.1,52.0,66.0,5.7,36.0,46.82164972881884,1.3,0.8,92.0,55.0
1.3888152e+18,18.0,0.54,0.7,9.5,10.0,49.0,65.0,6.0,24.0,45.36485757910824,1.3,1.4,90.0,59.0
1.3888188e+18,18.0,0.67,0.6,15.0,16.0,43.0,59.0,6.8,20.0,44.24861934600599,1.6,1.4,99.0,63.0
1.3888224e+18,18.0,0.82,1.0,22.0,23.0,34.0,62.0,6.6,37.0,41.01268371624133,1.0,1.2,120.0,70.0
1.388826e+18,18.0,1.0,2.3,30.0,32.0,24.0,68.0,7.3,38.0,37.679122901420705,0.5,0.9,138.0,80.0
1.3888296e+18,18.0,0.98,2.4,27.0,30.0,28.0,67.0,12.0,37.0,35.78526745675841,1.1,0.8,158.0,94.0
1.3888332e+18,18.0,0.82,1.8,24.0,26.0,34.0,62.0,6.0,52.0,35.01416118243613,0.9,0.9,159.0,93.0
