TIME,WIND_SPEED,WIND_DIR,TEMP,RH,BAROMETER,RADIATION,INNER_TEMP,PM10,PM2.5,PM1
1.6058124e+18,1.30129,59.895,19.5707,0.356163,1015.15,1.01536,28.2117,9.3483,9.0717,8.785
1.605816e+18,0.7599199999999999,44.0346,19.4537,0.356554,1015.59,1.02934,28.0858,7.1425,6.6508,6.4767
1.6058196e+18,1.07259,54.823,19.3333,0.356684,1016.13,1.04149,27.9804,6.505,6.3383,6.1317
1.6058232e+18,0.5561699999999999,45.9904,19.2695,0.357118,1016.69,1.01962,27.936999999999998,5.5433,4.9275,4.755
1.6058268e+18,1.0025899999999999,23.8493,19.287,0.355078,1016.8,0.9995700000000001,27.8528,6.5175,6.18,5.9442
1.6058304e+18,0.7144699999999999,46.6645,19.1643,0.35585900000000004,1016.74,1.02569,27.7635,19.1325,18.92,18.6333
1.605834e+18,0.76576,49.5877,19.2794,0.357943,1016.91,1.0117200000000002,27.8221,5.015,4.691669999999999,4.5566699999999996
1.6058376e+18,0.84378,40.4998,19.1559,0.356207,1016.41,1.02326,27.7656,9.6758,9.5942,9.4408
1.6058412e+18,0.7895,38.6676,19.2139,0.35746500000000003,1015.82,1.04271,27.7045,10.0116,9.2107,8.775
1.6058448e+18,0.63374,44.317,18.9238,0.357205,1015.74,1.04575,27.7207,11.8675,11.5533,11.3992
1.6058484e+18,0.75977,19.4801,18.4073,0.357509,1016.15,1.0360200000000002,27.5589,11.5205,10.9026,10.6436
1.605852e+18,1.06739,13.957,18.3028,0.35816,1016.91,0.9862,27.3582,5.6617,5.6021,5.5426
1.6058556e+18,0.89049,26.4518,18.4032,0.358811,1017.52,2.07205,27.2601,3.94872,3.8923099999999997,3.82436
1.6058592e+18,0.61023,47.5993,18.462,0.360113,1018.16,27.0885,27.1276,4.85227,3.86818,3.63864
1.6058628e+18,1.18761,21.3181,18.85,0.35868099999999997,1019.17,81.95,26.6361,4.37059,4.0911800000000005,3.59559
1.6058664e+18,1.14424,41.658,19.4302,0.358377,1019.95,110.42299999999999,25.0837,6.9275,4.91625,4.43625
1.60587e+18,0.7771600000000001,61.137,19.8199,0.361415,1020.02,179.295,25.4177,6.8,4.4,3.65
1.6058736e+18,1.16241,42.1593,19.9977,0.358594,1019.14,174.858,25.2481,5.8,3.15789,2.69342
1.6058772e+18,1.38301,19.9326,20.1891,0.358984,1017.67,224.558,25.0528,2.4580599999999997,2.29677,2.07419
1.6058808e+18,1.0376,28.9629,20.5269,0.361762,1016.59,366.965,25.0913,3.4059699999999995,2.19254,1.84925
1.6058844e+18,1.0255,37.705999999999996,20.7271,0.358854,1016.22,217.33900000000003,25.1344,4.96972,4.07817,3.85704
1.605888e+18,1.30312,12.5598,20.5852,0.358507,1015.82,120.92299999999999,25.1118,4.0957,3.7795699999999997,3.6301099999999997
1.6058916e+18,1.13052,14.9552,20.3717,0.359766,1016.23,15.6254,25.0629,6.9972,5.1906,4.68056
1.6058952e+18,0.7467,46.922,20.169,0.35789899999999997,1016.84,1.02813,25.2995,9.3359,5.3359,4.687790000000001
1.6058988e+18,0.88321,50.099,19.9347,0.357595,1017.23,1.0184,26.0535,9.4086,7.6078,6.925
1.6059024e+18,1.09358,53.758,19.5143,0.355903,1017.87,1.02387,26.3232,8.3472,7.5571,7.1162
1.605906e+18,1.29463,68.923,19.1887,0.357292,1018.62,1.02023,26.392,6.1252,5.7262,5.4935
1.6059096e+18,1.0609,68.193,19.1122,0.357639,1018.89,0.9995700000000001,26.5054,6.1521,5.7352,5.2648
1.6059132e+18,1.33285,65.464,18.8499,0.359028,1018.89,1.02387,26.5552,7.8296,6.1914,5.7444
1.6059168e+18,0.97116,63.354,18.5405,0.358377,1018.64,1.03967,26.0295,10.0635,9.7794,9.5175
1.6059204e+18,0.82763,51.943999999999996,18.3651,0.358941,1018.23,1.01901,25.1703,10.695,9.68,8.13
1.605924e+18,0.88307,33.6847,18.0243,0.35933200000000004,1017.87,1.0323799999999999,25.0621,11.8143,11.4635,11.1159
1.6059276e+18,0.85961,54.315,17.7141,0.36006900000000003,1017.44,1.0645799999999999,25.0197,5.65,5.63,5.5483
1.6059312e+18,1.19835,56.083,17.3288,0.354644,1017.1,1.03542,25.0631,6.5583,6.49,6.305
1.6059348e+18,1.1434,55.809,17.0523,0.354948,1017.34,1.03116,25.1243,5.81,4.83333,4.5566699999999996
1.6059384e+18,1.22509,58.353,16.8918,0.35742199999999996,1017.84,1.0566799999999998,25.0907,8.6167,8.0467,7.8583
1.605942e+18,0.70225,54.483999999999995,16.7106,0.357856,1018.36,2.44149,25.0405,5.3592,4.495,4.39
1.6059456e+18,0.9515100000000001,49.8784,16.9507,0.355252,1019.04,55.426,25.0036,7.79,7.0317,6.19
1.6059492e+18,0.9738600000000001,43.5808,17.4127,0.358073,1019.71,133.89600000000002,24.9926,8.0308,5.6008,4.92833
1.6059528e+18,0.9134,20.5944,17.7748,0.36289099999999996,1020.29,179.887,24.9956,7.7808,6.0558,5.2708
1.6059564e+18,0.92284,41.9242,18.2389,0.362066,1019.91,221.22799999999998,25.0127,8.0542,7.0467,6.6942
1.60596e+18,0.9852700000000001,22.0444,18.6412,0.359592,1018.91,236.136,25.1219,8.7025,7.615,7.0933
1.6059636e+18,0.84888,22.8313,18.9097,0.360373,1017.54,230.968,25.8186,7.4617,6.8642,6.6742
